author.id,u_min,u_max,u_mean,u_std,Cat,is_retweet,Label,retweet
u1870,0,0,0,,Twitter_User,,u1870,
u1871,1,1,1,,Twitter_User,,u1871,
u1872,561,561,561,,Twitter_User,,u1872,
u1873,163,163,163,,Twitter_User,,u1873,u4665
u1874,0,0,0,,Twitter_User,,u1874,
u1875,0,0,0,,Twitter_User,,u1875,
u1876,0,0,0,,Twitter_User,,u1876,
u1877,0,0,0,0,Twitter_User,,u1877,
u1878,0,0,0,,Twitter_User,,u1878,
u1879,7,7,7,,Twitter_User,,u1879,
u188,0,0,0,,Twitter_User,,u188,
u1880,13,13,13,,Twitter_User,,u1880,
u1881,0,0,0,,Twitter_User,,u1881,
u1882,0,0,0,,Twitter_User,,u1882,
u1883,100,100,100,,Twitter_User,,u1883,
u1884,0,2,1.07,0.46,Twitter_User,,u1884,
u1885,728,728,728,,Twitter_User,,u1885,
u1886,0,1,0.5,0.71,Twitter_User,,u1886,
u1887,0,9,3.33,4.93,Twitter_User,,u1887,
u1888,93,93,93,,Twitter_User,,u1888,
u1889,0,0,0,,Twitter_User,,u1889,
u189,0,0,0,0,Twitter_User,,u189,
u1890,3429,3429,3429,,Twitter_User,,u1890,
u1891,0,0,0,,Twitter_User,,u1891,
u1892,1,7,4,4.24,Twitter_User,,u1892,
u1893,2888,2888,2888,,Twitter_User,,u1893,
u1894,0,0,0,0,Twitter_User,,u1894,
u1895,0,0,0,,Twitter_User,,u1895,
u1896,0,0,0,,Twitter_User,,u1896,
u1897,38,38,38,,Twitter_User,,u1897,
u1898,3429,3429,3429,,Twitter_User,,u1898,
u1899,23,23,23,,Twitter_User,,u1899,
u19,17,17,17,,Twitter_User,,u19,
u190,0,0,0,,Twitter_User,,u190,
u1900,0,0,0,,Twitter_User,,u1900,
u1901,1,1,1,,Twitter_User,,u1901,
u1902,3263,3263,3263,,Twitter_User,,u1902,
u1903,2888,2888,2888,,Twitter_User,,u1903,
u1904,7,24,16.33,8.62,Twitter_User,,u1904,
u1905,0,0,0,,Twitter_User,,u1905,
u1906,0,0,0,,Twitter_User,,u1906,
u1907,0,0,0,,Twitter_User,,u1907,
u1908,0,0,0,0,Twitter_User,,u1908,
u1909,0,0,0,0,Twitter_User,,u1909,
u191,3263,3263,3263,,Twitter_User,,u191,
u1910,0,0,0,,Twitter_User,,u1910,
u1911,329,329,329,,Twitter_User,,u1911,
u1912,0,0,0,,Twitter_User,,u1912,
u1913,0,2,0.67,1.15,Twitter_User,,u1913,
u1914,0,0,0,0,Twitter_User,,u1914,
u1915,219,219,219,,Twitter_User,,u1915,
u1916,1,1,1,,Twitter_User,,u1916,
u1917,0,0,0,0,Twitter_User,,u1917,
u1918,2095,2095,2095,,Twitter_User,,u1918,
u1919,0,0,0,0,Twitter_User,,u1919,
u192,6,6,6,,Twitter_User,,u192,
u1920,2095,2095,2095,,Twitter_User,,u1920,
u1921,1,1,1,,Twitter_User,,u1921,
u1922,0,999,71.71,266.89,Twitter_User,,u1922,
u1923,166,166,166,,Twitter_User,,u1923,
